tokens,tags
"['বিশ্বব্যাংকের', 'তৈরি', 'করা', 'তথ্য-উপাত্ত', 'অনুযায়ী', ',', 'নিম্ন', 'আয়ের', 'দেশগুলোতে', 'এখন', 'গড়', 'মাথাপিছু', 'আয়', 'হচ্ছে', '৫২৮', 'ডলার', '।']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['আর', 'দক্ষিণ', 'এশিয়ার', 'গড়', 'আয়', 'এক', 'হাজার', '১৭৬', 'ডলার', '।']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এক', 'হাজার', '৪৪', 'ডলার', 'নিয়ে', 'দক্ষিণ', 'এশিয়াকে', 'প্রায়', 'ধরে', 'ফেলেছে', 'বাংলাদেশ', '।']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O']"
"['সাফল্য', 'আছে', 'জনসংখ্যা', 'বৃদ্ধির', 'হারেও', '।']","['O', 'O', 'O', 'O', 'O', 'O']"
"['বাংলাদেশে', 'এখন', 'এই', 'হার', 'মাত্র', '১', 'দশমিক', '৩', 'শতাংশ', 'আর', 'দক্ষিণ', 'এশিয়ার', 'গড়', '১', 'দশমিক', '৪', 'শতাংশ', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['নিম্ন', 'আয়ের', 'দেশগুলোতে', 'এই', 'গড়', 'অনেক', 'বেশি', ',', '২', 'দশমিক', '১', 'শতাংশ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['স্বাধীনতার', 'ঠিক', 'পরেই', 'দেশের', 'মানুষ', 'গড়ে', 'বেঁচে', 'থাকত', '৪৬', 'বছর', ',', 'এখন', 'সেই', 'গড়', '৬৯', 'বছর', '।']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['অথচ', 'দক্ষিণ', 'এশিয়ার', 'গড়', 'হচ্ছে', '৬৫', 'বছর', '।']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']"
"['নিম্ন', 'আয়ের', 'দেশগুলোতে', 'এক', 'হাজার', 'নবজাতকের', 'মধ্যে', 'মারা', 'যায়', '৭০', 'জন', ',', 'দক্ষিণ', 'এশিয়ায়', '৫২', ',', 'আর', 'বাংলাদেশে', '৩৫', 'জন', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']"
"['মেয়েরা', 'সবচেয়ে', 'বেশি', 'স্কুলে', 'যায়', 'এই', 'বাংলাদেশেই', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['বাংলাদেশ', 'কেবল', 'পিছিয়ে', 'আছে', 'পাঁচ', 'বছরের', 'কম', 'বয়সী', 'শিশুদের', 'অপুষ্টি', 'দূর', 'করার', 'ক্ষেত্রে', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বাংলাদেশের', 'এই', 'অর্জন', 'বিশেষভাবে', 'তাৎপর্যপূর্ণ', 'বলে', 'মনে', 'করেন', 'বিশিষ্ট', 'অর্থনীতিবিদ', ',', 'সাবেক', 'তত্ত্বাবধায়ক', 'সরকারের', 'অর্থ', 'উপদেষ্টা', 'অধ্যাপক', 'ওয়াহিদউদ্দিন', 'মাহমুদ', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']"
"['প্রথম', 'আলোকে', 'তিনি', 'বলেন', ',', 'বাংলাদেশ', 'শুধু', 'যে', 'মুসলিমপ্রধান', 'দেশ', ',', 'তা', 'নয়', ',', 'এটি', 'উত্তর', 'আফ্রিকা', 'থেকে', 'শুরু', 'করে', 'মধ্যপ্রাচ্য', 'ও', 'উত্তর', 'ভারত', 'পর্যন্ত', 'বিস্তৃত', 'এমন', 'একটি', 'অঞ্চলের', 'অংশ', ',', 'যেখানে', 'রয়েছে', 'মেয়েদের', 'প্রতি', 'বৈষম্যমূলক', 'পুরুষতান্ত্রিক', 'সমাজব্যবস্থা', '।']","['B-ORG', 'I-ORG', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এ', 'কারণে', 'বাংলাদেশের', 'সামাজিক', 'উন্নয়নের', 'এই', 'অগ্রগতিকে', 'একটি', '‘উন্নয়ন', 'বিস্ময়’', 'বলে', 'আখ্যায়িত', 'করা', 'হয়', '।']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এর', 'পেছনে', 'কাজ', 'করেছে', 'জনগণের', 'উন্নয়ন-সচেতনতা', ',', 'গোত্র-বর্ণ', 'ভেদাভেদহীন', 'সমাজ', 'এবং', 'সরকারি-বেসরকারি', 'সংস্থাগুলোর', 'নানা', 'কার্যকর', 'কর্মসূচি', 'ও', 'সামাজিক', 'উদ্যোগ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['অধ্যাপক', 'ওয়াহিদউদ্দিন', 'আরও', 'বলেন', ',', 'মাঠপর্যায়ের', 'এসব', 'কর্মসূচির', 'মাধ্যমেই', 'দেশের', 'মানুষ', 'নানা', 'ধর্মীয়', 'গোঁড়ামিকে', 'ক্রমান্বয়ে', 'অতিক্রম', 'করতে', 'সক্ষম', 'হয়েছে', '।']","['O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['জাতীয়', 'পর্যায়ে', 'ধর্মনিরপেক্ষতা', 'বা', 'সেক্যুলারিজম', 'নিয়ে', 'যে', 'রাজনৈতিক', 'বিতর্ক', ',', 'তা', 'দেশের', 'উন্নয়ন-প্রক্রিয়ায়', 'উপাদান', 'হিসেবে', 'তেমন', 'কাজ', 'করেছে', 'বলে', 'মনে', 'হয়', 'না', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['কিন্তু', 'এখন', 'ধর্মের', 'নতুন', 'করে', 'রাজনৈতিকীকরণ', 'বাংলাদেশের', 'সামাজিক', 'বিপ্লবকে', 'ঝুঁকিতে', 'ফেলতে', 'পারে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ঝুঁকির', 'মধ্যে', 'দেশ', ':', '১৯৯০', 'এর', 'দশকেও', 'বাংলাদেশে', '৫৭', 'শতাংশ', 'মানুষ', 'দারিদ্র্যসীমার', 'নিচে', 'বাস', 'করত', '।']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এখন', 'করছে', '৩১', 'দশমিক', '৫', 'শতাংশ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বিশ্বব্যাংক', 'ও', 'আইএমএফ', 'বলছে', ',', '৬', 'শতাংশ', 'হারে', 'অব্যাহত', 'প্রবৃদ্ধি', 'অর্জন', 'গ্রামীণ', 'অর্থনীতিকে', 'চাঙা', 'করেছে', '।']","['B-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['মূলত', '৮০', 'লাখ', 'প্রবাসীর', 'পাঠানো', 'আয়', ',', 'তৈরি', 'পোশাক', 'খাতের', 'প্রায়', '৪০', 'লাখ', 'শ্রমিক', 'এবং', 'কৃষির', 'সবুজ', 'বিপ্লব', 'বা', 'এক', 'জমিতে', 'দুই', 'ফসল', 'দারিদ্র্য', 'কমানোর', 'ক্ষেত্রে', 'বড়', 'ধরনের', 'ভূমিকা', 'রেখেছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['আবার', 'সরকারও', 'পিছিয়ে', 'পড়া', 'ও', 'অতিদরিদ্রদের', 'জন্য', 'সামাজিক', 'কর্মসূচি', 'খাতে', 'অব্যাহতভাবে', 'বাজেট', 'বাড়িয়েছে', '।']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['দেশের', '৪০', 'শতাংশ', 'অতি', 'দরিদ্র', 'মানুষ', 'এখন', 'এই', 'কর্মসূচির', 'আওতায়', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এ', 'খাতে', 'সরকার', 'মোট', 'দেশজ', 'উৎপাদনের', '(', 'জিডিপি', ')', 'অংশ', 'হিসেবে', 'যে', 'অর্থ', 'ব্যয়', 'করছে', ',', 'তা', 'বড়', 'অর্থনীতির', 'দেশ', 'ভারতের', 'সমপর্যায়ের', '।']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
"['নেপাল', ',', 'পাকিস্তান', 'ও', 'শ্রীলঙ্কা', 'এর', 'চেয়ে', 'অনেক', 'কম', 'অর্থ', 'ব্যয়', 'করে', '।']","['B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বাংলাদেশের', 'বিস্ময়কর', 'সাফল্যের', 'জন্য', 'নারীর', 'অগ্রগতি', 'বড়', 'ভূমিকা', 'রেখেছে', 'বলেও', 'মনে', 'করছেন', 'বিশেষজ্ঞরা', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['আইএমএফও', 'বলছে', ',', 'গ্রামীণ', 'ব্যাংকের', 'মতো', 'প্রতিষ্ঠান', 'মূলত', 'মেয়েদের', 'লক্ষ্য', 'করে', 'ক্ষুদ্রঋণ', 'দেয়', '।']","['B-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['আরও', 'রয়েছে', 'ব্র্যাকের', 'মতো', 'বিশ্বের', 'সবচেয়ে', 'বড়', 'বেসরকারি', 'সংস্থা', '।']","['O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['পরিবার', 'পরিকল্পনা', 'কর্মসূচি', 'গ্রহণ', 'করার', 'কারণে', 'মেয়েদের', 'সন্তান', 'জন্ম', 'দেওয়ার', 'হার', 'কমে', 'যাওয়ায়', 'তাঁরা', 'এখন', 'অনেক', 'বেশি', 'অর্থনৈতিক', 'কর্মকাণ্ডে', 'যুক্ত', 'হতে', 'পারছেন', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ফলে', 'পরিবারের', 'সদস্যসংখ্যা', 'নির্ধারণে', 'মেয়ের', 'ভূমিকাও', 'বেড়েছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['পোশাক', 'খাতের', '৪০', 'লাখ', 'শ্রমিকের', 'মধ্যে', 'মেয়েদের', 'সংখ্যাই', 'বেশি', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এঁরাই', 'বাংলাদেশকে', 'অনেকখানি', 'এগিয়ে', 'নিচ্ছেন', '।']","['O', 'B-ORG', 'O', 'O', 'O', 'O']"
"['সহস্রাব্দ', 'উন্নয়ন', 'লক্ষ্যমাত্রা', '(', 'এমডিজি', ')', 'ঠিক', 'করা', 'হয়েছিল', '১৯৯০', 'সালে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বাংলাদেশও', 'ওই', 'সময়', 'থেকেই', 'ক্রমান্বয়ে', 'এগিয়েছে', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এমডিজি', 'পূরণের', 'বছর', '২০১৫', '।']","['O', 'O', 'O', 'O', 'O']"
"['জাতিসংঘ', 'উন্নয়ন', 'কর্মসূচির', '(', 'ইউএনডিপি', ')', 'তৈরি', 'করা', 'প্রতিবেদনে', 'বলা', 'হচ্ছে', ',', 'আটটি', 'লক্ষ্যমাত্রার', 'মধ্যে', 'বাংলাদেশ', 'এরই', 'মধ্যে', 'অনেকগুলোতে', 'সঠিক', 'পথে', 'আছে', ',', 'কিছু', 'ক্ষেত্রে', 'লক্ষ্য', 'অর্জিত', 'হয়েছে', '।']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বয়স্ক', 'শিক্ষার', 'হার', 'বাড়ানোর', 'মতো', 'কিছু', 'বিষয়ে', 'পিছিয়ে', 'আছে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এমডিজি', 'পূরণের', 'ক্ষেত্রেও', 'বাংলাদেশ', 'এখন', 'সারা', 'বিশ্বে', 'একটি', 'উদাহরণ', '।']","['B-ORG', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['বিশ্বব্যাংক', 'বাংলাদেশের', 'দারিদ্র্য', 'পরিস্থিতি', 'মূল্যায়ন', 'করে', 'সাম্প্রতিক', 'এক', 'প্রতিবেদনে', 'বলেছে', ',', 'এত', 'অর্জনের', 'পরও', 'দিনে', 'এক', 'ডলারের', 'কম', 'আয়', 'করে', 'এমন', 'দরিদ্র', 'মানুষের', 'সংখ্যা', 'এখনো', '৪৩', 'শতাংশ', '।']","['B-ORG', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['যদিও', 'তা', '১৯৯০', 'সময়ে', 'ছিল', '৭০', 'শতাংশ', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['সুতরাং', 'এখনো', 'অনেক', 'দূর', 'যেতে', 'হবে', 'বাংলাদেশকে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['আইএমএফ', 'বলছে', ',', 'বর্তমান', 'রাজনৈতিক', 'অনিশ্চয়তা', 'ও', 'অস্থিতিশীলতার', 'কারণে', 'বাংলাদেশের', 'অর্থনীতি', 'ঝুঁকির', 'মধ্যে', 'পড়ে', 'গেছে', '।']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"['প্রবৃদ্ধি', 'সাড়ে', '৫', 'শতাংশ', 'হয়ে', 'যাবে', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['অর্থাৎ', 'অর্থনীতির', 'অগ্রগতি', 'থমকে', 'যাচ্ছে', '।']","['O', 'O', 'O', 'O', 'O', 'O']"
"['সামগ্রিক', 'বিষয়ে', 'অধ্যাপক', 'ওয়াহিদউদ্দিন', 'মাহমুদের', 'বিশ্লেষণ', 'হচ্ছে', ',', 'এমন', 'একটি', 'সময়ে', 'আমরা', 'রাজনৈতিক', 'বিপর্যয়ের', 'সম্মুখীন', 'হয়েছি', ',', 'যখন', 'দেশের', 'অর্থনীতি', 'একটি', 'বড়', 'ধরনের', 'সম্ভাবনার', 'দ্বারপ্রান্তে', 'উপনীত', 'হয়েছিল', '।']","['O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এই', 'সম্ভাবনাকে', 'কাজে', 'লাগাতে', 'হলে', 'দরকার', 'একটি', 'শক্তিশালী', 'জনসমর্থনমূলক', 'সরকার', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['শুধু', 'নিয়ম', 'রক্ষার', 'খাতিরে', '৫', 'জানুয়ারি', 'যে', 'একতরফা', 'নির্বাচন', 'হতে', 'যাচ্ছে', ',', 'তার', 'মাধ্যমে', 'এ', 'ধরনের', 'জনপ্রতিনিধিত্বমূলক', 'শক্তিশালী', 'সরকার', 'গঠিত', 'হওয়ার', 'কোনো', 'সুযোগ', 'নেই', '।']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
"['দেশের', 'বিরাট', 'জনগোষ্ঠীর', 'প্রতিনিধিত্বকারী', 'বিরোধী', 'দল', 'কার্যত', 'গণতন্ত্রের', 'প্রাতিষ্ঠানিক', 'কাঠামোর', 'বাইরে', 'থেকে', 'যাবে', '।']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['এ', 'রকম', 'পরিস্থিতিতে', 'দেশের', 'শান্তি-শৃঙ্খলা', 'ফিরে', 'আসবে', 'না', '।']","['O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O']"
