sentences,tokens,tags
এ ছাড়া বিষয়টি তদন্ত করাও জরুরি।,"['এ', 'ছাড়া', 'বিষয়টি', 'তদন্ত', 'করাও', 'জরুরি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
এর পরই সিদ্ধান্ত নেওয়া হবে।',"['এর', 'পরই', 'সিদ্ধান্ত', 'নেওয়া', 'হবে', '<PUNCT>', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"পরীক্ষায় অংশ নেওয়া ঢাকা বিশ্ববিদ্যালয়ের কয়েকজন শিক্ষার্থী বলেন, সকাল নয়টা থেকেই হাতে লেখা প্রশ্নপত্রটি বিশ্ববিদ্যালয়ের কয়েকটি হলে পাওয়া যাচ্ছিল।","['পরীক্ষায়', 'অংশ', 'নেওয়া', 'ঢাকা', 'বিশ্ববিদ্যালয়ের', 'কয়েকজন', 'শিক্ষার্থী', 'বলেন', '<PUNCT>', 'সকাল', 'নয়টা', 'থেকেই', 'হাতে', 'লেখা', 'প্রশ্নপত্রটি', 'বিশ্ববিদ্যালয়ের', 'কয়েকটি', 'হলে', 'পাওয়া', 'যাচ্ছিল', '<PUNCT>']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
১১টার দিকে এটি বিশ্ববিদ্যালয়ের অধিকাংশ হলের ফটোকপির দোকানে পৌঁছে যায়।,"['১১টার', 'দিকে', 'এটি', 'বিশ্ববিদ্যালয়ের', 'অধিকাংশ', 'হলের', 'ফটোকপির', 'দোকানে', 'পৌঁছে', 'যায়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"ফাঁস হওয়া ওই প্রশ্নপত্র সংগ্রহ করে দেখা যায়, সেখানে ৭৫টি প্রশ্ন ও উত্তর রয়েছে।","['ফাঁস', 'হওয়া', 'ওই', 'প্রশ্নপত্র', 'সংগ্রহ', 'করে', 'দেখা', 'যায়', '<PUNCT>', 'সেখানে', '৭৫টি', 'প্রশ্ন', 'ও', 'উত্তর', 'রয়েছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"পরীক্ষার প্রশ্নের সঙ্গে মিলিয়ে দেখা যায়, প্রতিটি প্রশ্নই ধারাক্রমসহ মূল প্রশ্নে রয়েছে।","['পরীক্ষার', 'প্রশ্নের', 'সঙ্গে', 'মিলিয়ে', 'দেখা', 'যায়', '<PUNCT>', 'প্রতিটি', 'প্রশ্নই', 'ধারাক্রমসহ', 'মূল', 'প্রশ্নে', 'রয়েছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"পরীক্ষার্থীরা জানান, পরীক্ষা শুরু হওয়ার এক ঘণ্টা আগে বিশ্ববিদ্যালয় এলাকায় বাইরের পরীক্ষার্থীরাও জড়ো হন।","['পরীক্ষার্থীরা', 'জানান', '<PUNCT>', 'পরীক্ষা', 'শুরু', 'হওয়ার', 'এক', 'ঘণ্টা', 'আগে', 'বিশ্ববিদ্যালয়', 'এলাকায়', 'বাইরের', 'পরীক্ষার্থীরাও', 'জড়ো', 'হন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
তাঁরা বন্ধু ও পরিচিতদের কাছ থেকে প্রশ্ন নিয়ে এক ঘণ্টা পড়ে পরীক্ষা দিতে যান।,"['তাঁরা', 'বন্ধু', 'ও', 'পরিচিতদের', 'কাছ', 'থেকে', 'প্রশ্ন', 'নিয়ে', 'এক', 'ঘণ্টা', 'পড়ে', 'পরীক্ষা', 'দিতে', 'যান', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
অনেকেই মুঠোফোনে আত্মীয় ও পরিচিতদের প্রশ্ন জানিয়ে দেন।,"['অনেকেই', 'মুঠোফোনে', 'আত্মীয়', 'ও', 'পরিচিতদের', 'প্রশ্ন', 'জানিয়ে', 'দেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"আফজালুর রহমান নামের এক পরীক্ষার্থী বলেন, সবার হাতে হাতে প্রশ্ন দেখে তিনি ভেবেছিলেন এটি ভুয়া প্রশ্ন।","['আফজালুর', 'রহমান', 'নামের', 'এক', 'পরীক্ষার্থী', 'বলেন', '<PUNCT>', 'সবার', 'হাতে', 'হাতে', 'প্রশ্ন', 'দেখে', 'তিনি', 'ভেবেছিলেন', 'এটি', 'ভুয়া', 'প্রশ্ন', '<PUNCT>']","['B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
কিন্তু পরীক্ষা শেষে দেখেন হাতে লেখা প্রশ্নের সঙ্গে পরীক্ষায় আসা প্রশ্নের হুবহু মিল রয়েছে।,"['কিন্তু', 'পরীক্ষা', 'শেষে', 'দেখেন', 'হাতে', 'লেখা', 'প্রশ্নের', 'সঙ্গে', 'পরীক্ষায়', 'আসা', 'প্রশ্নের', 'হুবহু', 'মিল', 'রয়েছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"তিনি বলেন, পরীক্ষা শুরু হওয়ার ৩০-৪০ মিনিট পর অনেক পরীক্ষার্থীই হল থেকে পরীক্ষা দিয়ে বেরিয়ে যান।","['তিনি', 'বলেন', '<PUNCT>', 'পরীক্ষা', 'শুরু', 'হওয়ার', '৩০', '<PUNCT>', '৪০', 'মিনিট', 'পর', 'অনেক', 'পরীক্ষার্থীই', 'হল', 'থেকে', 'পরীক্ষা', 'দিয়ে', 'বেরিয়ে', 'যান', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এদিকে কয়েকটি পরীক্ষা কেন্দ্রে ছাত্রলীগের নেতা-কর্মীদের সহায়তায় মুঠোফোনে উত্তর সরবরাহের অভিযোগ পাওয়া গেছে।,"['এদিকে', 'কয়েকটি', 'পরীক্ষা', 'কেন্দ্রে', 'ছাত্রলীগের', 'নেতা', '<PUNCT>', 'কর্মীদের', 'সহায়তায়', 'মুঠোফোনে', 'উত্তর', 'সরবরাহের', 'অভিযোগ', 'পাওয়া', 'গেছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
পরীক্ষা শুরু হওয়ার পরপরই দুজন নারী এসে পরীক্ষা পরিদর্শকের সঙ্গে কয়েকজন পরীক্ষার্থীকে পরিচয় করিয়ে দেন।,"['পরীক্ষা', 'শুরু', 'হওয়ার', 'পরপরই', 'দুজন', 'নারী', 'এসে', 'পরীক্ষা', 'পরিদর্শকের', 'সঙ্গে', 'কয়েকজন', 'পরীক্ষার্থীকে', 'পরিচয়', 'করিয়ে', 'দেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এরপর ওই পরীক্ষার্থীরা মুঠোফোনে উত্তর নিয়ে পরীক্ষা দেন।,"['এরপর', 'ওই', 'পরীক্ষার্থীরা', 'মুঠোফোনে', 'উত্তর', 'নিয়ে', 'পরীক্ষা', 'দেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
পরিদর্শককে এ বিষয়ে অভিযোগ করেও কোনো ফল পাননি।,"['পরিদর্শককে', 'এ', 'বিষয়ে', 'অভিযোগ', 'করেও', 'কোনো', 'ফল', 'পাননি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এরপর পরীক্ষা না দিয়েই তিনি বেরিয়ে আসেন।,"['এরপর', 'পরীক্ষা', 'না', 'দিয়েই', 'তিনি', 'বেরিয়ে', 'আসেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"তিনি বলেন, তিতুমীর কলেজের ৩১৫ নম্বর কক্ষে তিনি পরীক্ষা দিয়েছেন।","['তিনি', 'বলেন', '<PUNCT>', 'তিতুমীর', 'কলেজের', '৩১৫', 'নম্বর', 'কক্ষে', 'তিনি', 'পরীক্ষা', 'দিয়েছেন', '<PUNCT>']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
সেখানে ছাত্রলীগের নেতা-কর্মীরা তাঁদের পরিচিতজনকে একসঙ্গে বসার ব্যবস্থা করেন।,"['সেখানে', 'ছাত্রলীগের', 'নেতা', '<PUNCT>', 'কর্মীরা', 'তাঁদের', 'পরিচিতজনকে', 'একসঙ্গে', 'বসার', 'ব্যবস্থা', 'করেন', '<PUNCT>']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এরপর তাঁদের প্রশ্নের উত্তর সরবরাহ করেন।,"['এরপর', 'তাঁদের', 'প্রশ্নের', 'উত্তর', 'সরবরাহ', 'করেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
নারী পরীক্ষার্থীদের হলে উত্ত্যক্ত করা হয়।,"['নারী', 'পরীক্ষার্থীদের', 'হলে', 'উত্ত্যক্ত', 'করা', 'হয়', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
এ অবস্থায় অনেক পরীক্ষার্থীই পরীক্ষা না দিয়ে বেরিয়ে আসেন।,"['এ', 'অবস্থায়', 'অনেক', 'পরীক্ষার্থীই', 'পরীক্ষা', 'না', 'দিয়ে', 'বেরিয়ে', 'আসেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"ব্যাংক সূত্রে জানা যায়, পরীক্ষার প্রশ্ন করার দায়িত্ব দেওয়া হয়েছিল ঢাকা বিশ্ববিদ্যালয়ের ম্যানেজমেন্ট ইনফরমেশন সিস্টেমস বিভাগকে।","['ব্যাংক', 'সূত্রে', 'জানা', 'যায়', '<PUNCT>', 'পরীক্ষার', 'প্রশ্ন', 'করার', 'দায়িত্ব', 'দেওয়া', 'হয়েছিল', 'ঢাকা', 'বিশ্ববিদ্যালয়ের', 'ম্যানেজমেন্ট', 'ইনফরমেশন', 'সিস্টেমস', 'বিভাগকে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
৪৫ হাজার শিক্ষার্থী পরীক্ষায় অংশ নেওয়ার জন্য আবেদন করেছিলেন তবে প্রবেশপত্র নিয়েছেন ৪২ হাজার জন।,"['৪৫', 'হাজার', 'শিক্ষার্থী', 'পরীক্ষায়', 'অংশ', 'নেওয়ার', 'জন্য', 'আবেদন', 'করেছিলেন', 'তবে', 'প্রবেশপত্র', 'নিয়েছেন', '৪২', 'হাজার', 'জন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"বিভাগের শিক্ষক ও পরীক্ষা কমিটির সদস্য অধ্যাপক হাসিবুর রশীদ প্রথম আলো ডটকমকে বলেন, এ রকম অভিযোগ তাঁরাও পেয়েছেন।","['বিভাগের', 'শিক্ষক', 'ও', 'পরীক্ষা', 'কমিটির', 'সদস্য', 'অধ্যাপক', 'হাসিবুর', 'রশীদ', 'প্রথম', 'আলো', 'ডটকমকে', 'বলেন', '<PUNCT>', 'এ', 'রকম', 'অভিযোগ', 'তাঁরাও', 'পেয়েছেন', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
যারা বড় আকারের ট্যাবলেট পছন্দ করেন তাঁদের জন্য সুসংবাদই বলা চলে।,"['যারা', 'বড়', 'আকারের', 'ট্যাবলেট', 'পছন্দ', 'করেন', 'তাঁদের', 'জন্য', 'সুসংবাদই', 'বলা', 'চলে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
১২ দশমিক ৯ ইঞ্চি মাপের একটি হালকা-পাতলা আইপ্যাড বাজারে আনতে পারে অ্যাপল।,"['১২', 'দশমিক', '৯', 'ইঞ্চি', 'মাপের', 'একটি', 'হালকা', '<PUNCT>', 'পাতলা', 'আইপ্যাড', 'বাজারে', 'আনতে', 'পারে', 'অ্যাপল', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
এ ট্যাবলেটটির নাম হতে পারে 'আইপ্যাড ম্যাক্সি'।,"['এ', 'ট্যাবলেটটির', 'নাম', 'হতে', 'পারে', '<PUNCT>', 'আইপ্যাড', 'ম্যাক্সি', '<PUNCT>', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
কোরিয়ার প্রযুক্তি-বিষয়ক ওয়েবসাইট ইটি নিউজডটকমের বরাতে এ তথ্য প্রকাশ করেছে এনডিটিভি।,"['কোরিয়ার', 'প্রযুক্তি', '<PUNCT>', 'বিষয়ক', 'ওয়েবসাইট', 'ইটি', 'নিউজডটকমের', 'বরাতে', 'এ', 'তথ্য', 'প্রকাশ', 'করেছে', 'এনডিটিভি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
আলট্রাবুক বা হালকা-পাতলা ল্যাপটপগুলোর সঙ্গে বাজারে প্রতিযোগিতা করতেই বড় মাপের হালকা-পাতলা ট্যাবলেট বাজারে আনতে পারে অ্যাপল।,"['আলট্রাবুক', 'বা', 'হালকা', '<PUNCT>', 'পাতলা', 'ল্যাপটপগুলোর', 'সঙ্গে', 'বাজারে', 'প্রতিযোগিতা', 'করতেই', 'বড়', 'মাপের', 'হালকা', '<PUNCT>', 'পাতলা', 'ট্যাবলেট', 'বাজারে', 'আনতে', 'পারে', 'অ্যাপল', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
২০১৪ সালের প্রথম প্রান্তিকে বড় মাপের ট্যাবলেট বাজারে আনতে পারে প্রতিষ্ঠানটি।,"['২০১৪', 'সালের', 'প্রথম', 'প্রান্তিকে', 'বড়', 'মাপের', 'ট্যাবলেট', 'বাজারে', 'আনতে', 'পারে', 'প্রতিষ্ঠানটি', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
ডিজিটাল পাঠ্যবই ও শিক্ষা উপকরণ হিসেবে এ ট্যাবলেট ব্যবহূত হতে পারে।,"['ডিজিটাল', 'পাঠ্যবই', 'ও', 'শিক্ষা', 'উপকরণ', 'হিসেবে', 'এ', 'ট্যাবলেট', 'ব্যবহূত', 'হতে', 'পারে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
কোরিয়া-ভিত্তিক ডিসপ্লে নির্মাতাদের সূত্রে এ তথ্য প্রকাশিত হয়েছে।,"['কোরিয়া', '<PUNCT>', 'ভিত্তিক', 'ডিসপ্লে', 'নির্মাতাদের', 'সূত্রে', 'এ', 'তথ্য', 'প্রকাশিত', 'হয়েছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
এক সময়ের ট্যাবলেট বাজারের জনপ্রিয় আইপ্যাড কে বর্তমানে অ্যান্ড্রয়েডনির্ভর ট্যাবলেটের সঙ্গে প্রতিদ্বন্দ্বিতার মুখে পড়তে হচ্ছে।,"['এক', 'সময়ের', 'ট্যাবলেট', 'বাজারের', 'জনপ্রিয়', 'আইপ্যাড', 'কে', 'বর্তমানে', 'অ্যান্ড্রয়েডনির্ভর', 'ট্যাবলেটের', 'সঙ্গে', 'প্রতিদ্বন্দ্বিতার', 'মুখে', 'পড়তে', 'হচ্ছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
প্রতিদ্বন্দ্বীতার ট্যাবলেট বাজারে মাইক্রোসফটও উঠে আসার চেষ্টা চালিয়ে যাচ্ছে।,"['প্রতিদ্বন্দ্বীতার', 'ট্যাবলেট', 'বাজারে', 'মাইক্রোসফটও', 'উঠে', 'আসার', 'চেষ্টা', 'চালিয়ে', 'যাচ্ছে', '<PUNCT>']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O']"
সারা দেশের অধিকাংশ এলাকায় আরও বৃষ্টি হতে পারে বলে জানিয়েছে আবহাওয়া অফিস।,"['সারা', 'দেশের', 'অধিকাংশ', 'এলাকায়', 'আরও', 'বৃষ্টি', 'হতে', 'পারে', 'বলে', 'জানিয়েছে', 'আবহাওয়া', 'অফিস', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"আজ শুক্রবার সকাল নয়টা থেকে আগামী ২৪ ঘণ্টার আবহাওয়ার পূর্বাভাসে বলা হয়েছে, দেশের সাত বিভাগের অধিকাংশ জায়গায় অস্থায়ীভাবে দমকা অথবা ঝোড়ো হাওয়াসহ বৃষ্টি অথবা বজ্রসহ বৃষ্টি হতে পারে।","['আজ', 'শুক্রবার', 'সকাল', 'নয়টা', 'থেকে', 'আগামী', '২৪', 'ঘণ্টার', 'আবহাওয়ার', 'পূর্বাভাসে', 'বলা', 'হয়েছে', '<PUNCT>', 'দেশের', 'সাত', 'বিভাগের', 'অধিকাংশ', 'জায়গায়', 'অস্থায়ীভাবে', 'দমকা', 'অথবা', 'ঝোড়ো', 'হাওয়াসহ', 'বৃষ্টি', 'অথবা', 'বজ্রসহ', 'বৃষ্টি', 'হতে', 'পারে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
একই সঙ্গে দেশের কোথাও কোথাও মাঝারি ধরনের ভারী থেকে ভারী বর্ষণ হতে পারে।,"['একই', 'সঙ্গে', 'দেশের', 'কোথাও', 'কোথাও', 'মাঝারি', 'ধরনের', 'ভারী', 'থেকে', 'ভারী', 'বর্ষণ', 'হতে', 'পারে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
সারা দেশে দিন ও রাতের তাপমাত্রা সামান্য বাড়তে পারে।,"['সারা', 'দেশে', 'দিন', 'ও', 'রাতের', 'তাপমাত্রা', 'সামান্য', 'বাড়তে', 'পারে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
আজ আবহাওয়া অধিদপ্তরের এক সংবাদ বিজ্ঞপ্তিতে এ কথা বলা হয়।,"['আজ', 'আবহাওয়া', 'অধিদপ্তরের', 'এক', 'সংবাদ', 'বিজ্ঞপ্তিতে', 'এ', 'কথা', 'বলা', 'হয়', '<PUNCT>']","['O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
খবর বাসসের।,"['খবর', 'বাসসের', '<PUNCT>']","['O', 'B-ORG', 'O']"
"আগামী ৭২ ঘণ্টার আবহাওয়া সম্পর্কে বিজ্ঞপ্তিতে বলা হয়, দক্ষিণ-পশ্চিম মৌসুমি বায়ু চট্টগ্রাম উপকূল পর্যন্ত অগ্রসর হতে পারে।","['আগামী', '৭২', 'ঘণ্টার', 'আবহাওয়া', 'সম্পর্কে', 'বিজ্ঞপ্তিতে', 'বলা', 'হয়', '<PUNCT>', 'দক্ষিণ', '<PUNCT>', 'পশ্চিম', 'মৌসুমি', 'বায়ু', 'চট্টগ্রাম', 'উপকূল', 'পর্যন্ত', 'অগ্রসর', 'হতে', 'পারে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"আবহাওয়ার সার্বিক সারসংক্ষেপে আরও বলা হয়, গাঙ্গেয় পশ্চিমবঙ্গ এবং তত্সংলগ্ন এলাকায় অবস্থানরত গতকালের স্থল নিম্নচাপটি সামান্য উত্তর-পশ্চিমদিকে অগ্রসর হয়ে পশ্চিমবঙ্গ এবং তত্সংলগ্ন এলাকায় অবস্থান করছে।","['আবহাওয়ার', 'সার্বিক', 'সারসংক্ষেপে', 'আরও', 'বলা', 'হয়', '<PUNCT>', 'গাঙ্গেয়', 'পশ্চিমবঙ্গ', 'এবং', 'তৎসংলগ্ন', 'এলাকায়', 'অবস্থানরত', 'গতকালের', 'স্থল', 'নিম্নচাপটি', 'সামান্য', 'উত্তর', '<PUNCT>', 'পশ্চিমদিকে', 'অগ্রসর', 'হয়ে', 'পশ্চিমবঙ্গ', 'এবং', 'তৎসংলগ্ন', 'এলাকায়', 'অবস্থান', 'করছে', '<PUNCT>']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
এর বর্ধিতাংশ উত্তর বঙ্গোপসাগর পর্যন্ত বিস্তৃত।,"['এর', 'বর্ধিতাংশ', 'উত্তর', 'বঙ্গোপসাগর', 'পর্যন্ত', 'বিস্তৃত', '<PUNCT>']","['O', 'O', 'B-LOC', 'O', 'O', 'O', 'O']"
